sample_id,emotion,energy,zcr,spectral_centroid
0,angry,0.868283,0.737601,0.795027
1,angry,0.906434,0.682938,0.671869
2,angry,0.85767,0.781025,0.748992
3,angry,0.798817,0.852764,0.796668
4,angry,0.853962,0.867634,0.778051
5,angry,0.798442,0.822125,0.692467
6,angry,0.902707,0.797004,0.738908
7,angry,0.809144,0.873352,0.740728
8,angry,0.8243,0.778872,0.781939
9,angry,0.871927,0.824764,0.775849
10,angry,0.978499,0.775615,0.719265
11,angry,0.801174,0.836959,0.817738
12,angry,0.843163,0.749591,0.700531
13,angry,0.889036,0.844595,0.782589
14,angry,0.810069,0.81393,0.757001
15,angry,0.863121,0.852286,0.763416
16,angry,0.890735,0.804055,0.767347
17,angry,0.887877,0.712571,0.73082
18,angry,0.821778,0.761667,0.733491
19,angry,0.939696,0.74805,0.808097
20,angry,0.749028,0.779907,0.759765
21,angry,0.885173,0.842674,0.797601
22,angry,0.829076,0.772259,0.801479
23,angry,0.838522,0.723459,0.682003
24,angry,0.794833,0.82983,0.758546
25,angry,0.891429,0.774365,0.759512
26,angry,0.887535,0.781439,0.777407
27,angry,0.810284,0.778217,0.727096
28,angry,0.77825,0.829218,0.721836
29,angry,0.85075,0.828845,0.776792
30,angry,0.889923,0.794091,0.724602
31,angry,0.845217,0.69876,0.663173
32,angry,0.770638,0.740165,0.773986
33,angry,0.795671,0.77731,0.827954
34,angry,0.828624,0.844251,0.693983
35,angry,0.837674,0.742999,0.729658
36,angry,0.900418,0.696361,0.776065
37,angry,0.864264,0.764351,0.663237
38,angry,0.854328,0.76823,0.763961
39,angry,0.851311,0.896107,0.735639
40,happy,0.63859,0.660757,0.8132
41,happy,0.781551,0.700107,0.821412
42,happy,0.787798,0.578674,0.761615
43,happy,0.644405,0.626611,0.717399
44,happy,0.738109,0.636667,0.711752
45,happy,0.639065,0.668811,0.850288
46,happy,0.819804,0.824832,0.824865
47,happy,0.640628,0.522077,0.816063
48,happy,0.651224,0.625079,0.763274
49,happy,0.691553,0.713959,0.809423
50,happy,0.690482,0.587861,0.699519
51,happy,0.670822,0.646773,0.906076
52,happy,0.707816,0.708964,0.770042
53,happy,0.628903,0.592093,0.756486
54,happy,0.827708,0.600717,0.850309
55,happy,0.645824,0.705894,0.823097
56,happy,0.690602,0.647554,0.760713
57,happy,0.726764,0.622701,0.726464
58,happy,0.623324,0.660355,0.894745
59,happy,0.709599,0.642882,0.81715
60,happy,0.77836,0.663163,0.775344
61,happy,0.766377,0.675725,0.892145
62,happy,0.710994,0.576532,0.71791
63,happy,0.799056,0.75342,0.789229
64,happy,0.677009,0.737687,0.733577
65,happy,0.646316,0.6886,0.776324
66,happy,0.699693,0.640193,0.820254
67,happy,0.784449,0.655435,0.838636
68,happy,0.57699,0.647077,0.749406
69,happy,0.626871,0.597311,0.779953
70,happy,0.754954,0.570416,0.801838
71,happy,0.67095,0.63034,0.860165
72,happy,0.732287,0.730244,0.79073
73,happy,0.658243,0.636568,0.81455
74,happy,0.710594,0.584937,0.805429
75,happy,0.713694,0.801048,0.912611
76,happy,0.648805,0.632757,0.712193
77,happy,0.664558,0.668936,0.872351
78,happy,0.656255,0.610751,0.671163
79,happy,0.69024,0.586255,0.768234
80,sad,0.197388,0.244344,0.194536
81,sad,0.161977,0.377755,0.222755
82,sad,0.184193,0.360215,0.474304
83,sad,0.179706,0.227905,0.320493
84,sad,0.353722,0.190789,0.285283
85,sad,0.29664,0.276086,0.277431
86,sad,0.241971,0.167506,0.28571
87,sad,0.234017,0.26393,0.26668
88,sad,0.278292,0.310763,0.309326
89,sad,0.271105,0.253189,0.300005
90,sad,0.206707,0.26899,0.294163
91,sad,0.37559,0.344401,0.323151
92,sad,0.204217,0.183255,0.371469
93,sad,0.265765,0.278809,0.195325
94,sad,0.305646,0.277265,0.233374
95,sad,0.221709,0.265823,0.303148
96,sad,0.23247,0.243791,0.284881
